1|Nume,Email,Judet,Telefon,Tip
     2|"Consiliul Judetean Alba",consiliu@cjalba.ro,Alba,,Consiliu Judetean
     3|"Consiliul Judetean Arad",consiliu@cjarad.ro,Arad,,Consiliu Judetean
     4|"Consiliul Judetean Arges",consiliu@cjarges.ro,Arges,,Consiliu Judetean
     5|"Consiliul Judetean Bacau",consiliu@csjbacau.ro,Bacau,,Consiliu Judetean
     6|"Consiliul Judetean Bihor",consiliu@cjbihor.ro,Bihor,,Consiliu Judetean
     7|"Consiliul Judetean Bistrita-Nasaud",consiliu@portalbn.ro,Bistrita-Nasaud,,Consiliu Judetean
     8|"Consiliul Judetean Botosani",consiliu@cjbotosani.ro,Botosani,,Consiliu Judetean
     9|"Consiliul Judetean Braila",consiliu@cjbraila.ro,Braila,,Consiliu Judetean
    10|"Consiliul Judetean Brasov",consiliu@judbrasov.ro,Brasov,,Consiliu Judetean
    11|"Consiliul Judetean Buzau",consiliu@cjbuzau.ro,Buzau,,Consiliu Judetean
    13|"Consiliul Judetean Caras-Severin",consiliu@cjcs.ro,Caras-Severin,,Consiliu Judetean
    14|"Consiliul Judetean Cluj",consiliu@cjcluj.ro,Cluj,,Consiliu Judetean
    16|"Consiliul Judetean Covasna",consiliu@kvmt.ro,Covasna,,Consiliu Judetean
    17|"Consiliul Judetean Dambovita",consiliu@cjd.ro,Dambovita,,Consiliu Judetean
    18|"Consiliul Judetean Dolj",consiliu@cjdolj.ro,Dolj,,Consiliu Judetean
    19|"Consiliul Judetean Galati",consiliu@cjgalati.ro,Galati,,Consiliu Judetean
    20|"Consiliul Judetean Giurgiu",consiliu@cjgiurgiu.ro,Giurgiu,,Consiliu Judetean
    21|"Consiliul Judetean Gorj",consiliu@cjgorj.ro,Gorj,,Consiliu Judetean
    23|"Consiliul Judetean Hunedoara",consiliu@cjhunedoara.ro,Hunedoara,,Consiliu Judetean
    24|"Consiliul Judetean Ialomita",consiliu@cicnet.ro,Ialomita,,Consiliu Judetean
    26|"Consiliul Judetean Ilfov",consiliu@cjilfov.ro,Ilfov,,Consiliu Judetean
    27|"Consiliul Judetean Maramures",consiliu@cjmaramures.ro,Maramures,,Consiliu Judetean
    28|"Consiliul Judetean Mehedinti",consiliu@cjmehedinti.ro,Mehedinti,,Consiliu Judetean
    29|"Consiliul Judetean Mures",consiliu@cjmures.ro,Mures,,Consiliu Judetean
    30|"Consiliul Judetean Neamt",consiliu@cjneamt.ro,Neamt,,Consiliu Judetean
    31|"Consiliul Judetean Olt",consiliu@cjolt.ro,Olt,,Consiliu Judetean
    32|"Consiliul Judetean Prahova",consiliu@cjph.ro,Prahova,,Consiliu Judetean
    34|"Consiliul Judetean Satu Mare",consiliu@cjsm.ro,Satu Mare,,Consiliu Judetean
    35|"Consiliul Judetean Sibiu",consiliu@cjsibiu.ro,Sibiu,,Consiliu Judetean
    36|"Consiliul Judetean Suceava",consiliu@cjsuceava.ro,Suceava,,Consiliu Judetean
    37|"Consiliul Judetean Teleorman",consiliu@cjteleorman.ro,Teleorman,,Consiliu Judetean
    38|"Consiliul Judetean Timis",consiliu@cjtimis.ro,Timis,,Consiliu Judetean
    39|"Consiliul Judetean Tulcea",consiliu@cjtulcea.ro,Tulcea,,Consiliu Judetean
    40|"Consiliul Judetean Valcea",consiliu@cjvalcea.ro,Valcea,,Consiliu Judetean
    42|"Consiliul Judetean Vrancea",consiliu@cjvrancea.ro,Vrancea,,Consiliu Judetean
    43|"Primaria Alba Iulia",office@apulum.ro,Alba,,Primarie
    44|"Primaria Alexandria",primaria@alexandria.ro,Teleorman,,Primarie
